日付,発車時刻,到着時刻,乗車駅,降車駅,乗車駅番号,降車駅番号,会社,路線名,種別,列車名,列車番号,号車,前から両目,両数,編成番号（全）,編成番号（乗）,車両番号,距離（km）,その他詳細
2026/3/22,11:30,12:52,金沢,福井,,,IRいしかわ鉄道、ハピラインふくい,IRいしかわ鉄道線、ハピラインふくい線,普通,,1334M,2,2,2,IR12,IR12,クモハ521-26,76.7,
2026/3/22,14:05,14:58,福井,敦賀,,,ハピラインふくい,ハピラインふくい線,普通,,1242M,2,2,2,HF14,HF14,クモハ521-50,54.0,
2026/3/22,15:10,16:26,敦賀,岐阜,,,JR西日本、JR東海,北陸本線、東海道本線,特急,しらさぎ10号,10M,6,"1,6",6,W12,W12,クモハ681-508,95.5,米原降りが半分以上？ 米原まで先頭
2026/3/29,13:17,13:32,高山,飛騨古川,,,JR東海,高山本線,臨時快速,,9027D,2,1,,P107,P107,キハ25-1007,14.9,洗掘による臨時　発車標、案内は「臨時」、途中ノンストップ　こっちは上枝で行き違い停車
2026/3/29,14:24,14:39,飛騨古川,高山,,,JR東海,高山本線,臨時快速,,9034D,2,2,,P107,P107,キハ25-1007,14.9,
2026/4/18,8:38,8:43,西金沢,金沢,,,IRいしかわ鉄道,IRいしかわ鉄道線,普通,,635M,2,3,4,IR18+IR04,IR18,クモハ521-55,3.7,
2026/4/26,8:38,8:50,金沢,津幡,,,IRいしかわ鉄道,IRいしかわ鉄道線,普通,,837M,2,2,2,IR07,IR07,クモハ521-117,11.5,IR七尾線車
2026/4/26,8:59,9:04,津幡,森本,,,IRいしかわ鉄道,IRいしかわ鉄道線,普通,,530M,4,1,4,AK12+AK07,AK07,クモハ521-13,6.1,
2026/4/26,16:52,16:59,森本,金沢,,,IRいしかわ鉄道,IRいしかわ鉄道線,普通,,440M,2,2,4,AK21+AK09,AK21,クモハ521-1005,5.4,
2026/4/26,17:41,18:38,金沢,富山,,,IRいしかわ鉄道、あいの風とやま鉄道,IRいしかわ鉄道線、あいの風とやま鉄道線,普通,,461M,4,1,4,AK09+?,AK09,クモハ521-16,59.4,糸魚川行
2026/4/26,19:54,20:50,富山,金沢,,,あいの風とやま鉄道、IRいしかわ鉄道,あいの風とやま鉄道線、IRいしかわ鉄道線,普通,,582M,2,2,4,AK18+AK04,AK18,クモハ521-1002,59.4,
2026/4/29,7:30,7:35,西金沢,金沢,,,IRいしかわ鉄道,IRいしかわ鉄道線,普通,,323M,4,1,4,IR14+IR02,IR14,クモハ521-34,3.7,
2026/4/29,7:58,8:44,金沢,加賀温泉,,,IRいしかわ鉄道,IRいしかわ鉄道線,普通,,326M,4,4,4,IR01+IR24,IR24,クモハ521-57,42.3,
2026/4/29,17:54,18:40,加賀温泉,金沢,,,IRいしかわ鉄道,IRいしかわ鉄道線,普通,,345M,2,1,4,IR19+IR11,IR11,クモハ521-22,42.3,3県直通
2026/5/6,9:39,10:34,高山,杉原,,,JR東海,高山本線,普通,,1825D,,1,2,P101,P101,キハ25-1001,44.1,
2026/5/6,10:40,10:58,杉原,猪谷,,,JR東海,高山本線,JR代行バス,,,,,,,,,*8.7,3号車　ニュー飛騨観光バス FUSO 飛騨230 あ 200　もう一台は久々野観光 HINO 飛騨200 う 777
2026/5/6,11:07,11:55,猪谷,富山,,,JR西日本,高山本線,普通,,861D,,1,2,348+345,348,キハ120-348,36.6,
2026/5/6,13:20,14:19,富山,金沢,,,あいの風とやま鉄道、IRいしかわ鉄道,あいの風とやま鉄道線、IRいしかわ鉄道線,普通,,554M,2,2,2,AK05,AK05,クモハ521-11,59.4,
2026/5/16,18:17,18:31,鯖江,福井,,,ハピラインふくい,ハピラインふくい線,区間快速,,1035M,,,2,HF15,HF15,クハ520-51,13.7,
2026/5/16,19:12,20:32,福井,金沢,,,ハピラインふくい、あいの風とやま鉄道,ハピラインふくい線、あいの風とやま鉄道線,普通,,349M,4,,4,IR01+?,IR01,クモハ521-10,76.7,
2026/5/17,9:00,9:36,金沢,小松,,,,,,,638M,4,,4,IR15+IR01,IR01,クモハ521-10,28.4,
2026/5/17,9:45,10:22,小松,金沢,,,,,,,643M,2,,4,IR01+IR15,IR15,クモハ521-37,28.4,
2026/5/17,11:05,12:03,金沢,富山,,,,,,,439M,,,3,AM03,AM03,クモハ413-3,59.4,
2026/5/17,12:20,13:19,富山,金沢,,,,,,,550M,2,,2,AK06,AK06,クモハ521-12,59.4,
2026/5/17,13:30,13:40,金沢,松任,,,,,,,1338M,2,,2,IR10,IR10,クモハ521-20,9.4,
2026/5/17,14:11,14:26,松任,能見根上,,,,,,,1648M,2,,2,IR19,IR19,クモハ521-42,13.2,
2026/5/17,14:55,15:50,能見根上,福井,,,,,,,340M,4,,4,HF10+HF16,HF16,クモハ521-58,54.1,
2026/5/17,16:05,16:58,福井,敦賀,,,,,,,1250M,2,,2,HF15,HF15,クモハ521-51,54.0,
2026/5/17,17:43,18:31,敦賀,福井,,,,,区間快速,,1035M,2,,2,HF08,HF08,クモハ521-44,54.0,
2026/5/17,19:12,20:32,福井,金沢,,,,,,,349M,4,,4,IR17+IR05,IR17,クモハ521-40,76.7,
2026/6/5,6:02,6:54,金沢,呉羽,,,,,,,423M,4,,4,IR14+IR09,IR14,クモハ521-34,54.6,
2026/6/5,7:02,7:56,呉羽,泊,,,,,,,531M,2,,4,AK09+AK03,AK03,クモハ521-8,53.9,
2026/6/5,8:17,9:36,泊,直江津,,,,,,,1629D,1,1,1,K4,K4,ET122-4,68.7,
2026/6/5,9:45,10:01,直江津,上越妙高,,,,,,,2350M,,,2,V3,V3,ET127-3,10.4,
2026/6/5,10:13,10:48,上越妙高,妙高高原,,,,,,,2350M,,,2,V3,V3,ET127-3,27.3,
2026/6/5,10:51,11:40,妙高高原,長野,,,,,,,326M,,,2,S305,S305,クモハSR112-305,37.3,
2026/6/5,13:45,14:50,長野,小諸,,,,,,,2650M,,,2,S305,S305,クモハSR112-305,52.4,
2026/6/5,15:38,16:03,小諸,軽井沢,,,,,,,772M,,1,3,S7,S7,クモハ115-1018,22.0,
2026/6/5,17:33,17:57,軽井沢,小諸,,,,,,,775M,,2,3,S3,S3,モハ114-1018,22.0,
2026/6/6,6:48,7:54,小諸,長野,,,,,,,6619M,,,3,S7,S7,クモハ115-1018,52.4,
2026/6/6,12:00,15:01,長野,名古屋,,,,,特急,しなの12号,1012M,10,1,10,A103+A7,A103,クモハ383-12,250.8,第57回木曽漆器祭・奈良井宿場祭のため、木曽平沢と奈良井に臨時停車
2026/6/6,15:16,15:47,名古屋,桑名,,,,,,,3333G,3,,4,C110,C110,モハ315-3010,23.8,
2026/6/6,16:05,17:14,桑名,大垣,,,,,,,,1,3,3,TQ03,TQ03,7903,43.0,
2026/6/6,17:25,17:37,大垣,岐阜,,,,,特別快速,,5122F,,5,8,Y114+Z2,Y114,モハ313-5314,13.7,
2026/6/10,9:39,9:51,岐阜,大垣,,,,,特別快速,,2113F,,5,6,J161+J162,J162,モハ313-1602,13.7,
